id	argVar	pvform	lemma	pvv	mood	cau	pot	dat	BA	BAN	BÓL	RA	ON	RÓL	HOZ	NÁL	TÓL
meséls431w5	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls432w7	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls438w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls440w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls442w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls445w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls450w5	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	0	0	0	0	0
meséls458w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls461w6	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls462w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls464w6	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls466w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls467w5	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls470w8	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls471w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls479w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls480w2	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	0	0	0	0	0
meséls484w14	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls486w5	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	1	0	0	0	0
meséls493w6	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls494w6	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	1	1	0	0	0
meséls503w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls504w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls505w2	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	0	0	0	0	0
meséls507w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls508w8	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls509w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls511w11	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls513w11	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls514w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls516w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls517w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls518w6	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls520w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls521w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls523w9	1	0	mesél	0+mesél	ind	-	-	0	0	0	1	0	0	0	0	0	0
meséls524w3	1	0	mesél	0+mesél	ind	-	-	0	0	1	0	0	0	0	0	0	0
meséls525w5	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls535w4	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	0	0	0	0	0
meséls537w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls538w5	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	1	0	0	0	0
meséls540w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
